district,farm_size_acres,variety,soil_type,irrigation_type,seasonal_rainfall_mm,fertilizer_kg_per_acre,previous_yield_kg_per_acre,pest_disease_level,yield_kg_per_acre
Anuradhapura,1.011369292777067,Hybrid_A,Loam,Rainfed,1501.1442496072655,73.9812220214758,2883.8046284262023,Low,4300.0
Anuradhapura,1.9209643158900203,Hybrid_A,Loam,Rainfed,650.2472952357637,78.30965872250434,3556.4175834642124,Medium,3635.32275057664
Anuradhapura,0.3,Hybrid_A,Loam,Rainfed,770.0326197008308,94.92554974735253,3112.553979767332,Medium,3412.9297896362295
Anuradhapura,0.5972164212696567,Hybrid_A,Sandy,Rainfed,959.8568860396318,113.85732955698869,2833.5422736535556,Low,4069.159916633566
Anuradhapura,2.709851179761103,Hybrid_B,Sandy,Canal,1032.873377918608,55.93005342815071,2181.03001992409,Low,3357.2664306304464
Anuradhapura,4.1280393352982365,Hybrid_A,Clay,Rainfed,657.3269618911768,116.93182299436083,2245.1581512215757,Low,3081.639727837387
Anuradhapura,3.5317658297271093,OPV_Local,Loam,Tank,1329.7324200789453,66.73986873097446,3087.4558899873914,Low,4300.0
Anuradhapura,0.41118123919698335,Hybrid_A,Loam,Tube well,1170.3556204906954,69.42273305348384,2356.368230447898,Low,4011.1038269493024
Anuradhapura,0.6714109875690324,Hybrid_A,Clay,Canal,832.2852701726217,67.3741986640823,2987.5653633022066,Medium,3650.138526134753
Anuradhapura,1.5731407503771315,Hybrid_A,Loam,Tank,693.6908646562297,55.92726239748665,2531.9454169109804,Low,3177.953549593774
Anuradhapura,1.8348380850178383,Hybrid_A,Loam,Tank,1336.0760087451697,107.53234808878483,2969.4933240659007,Medium,4300.0
Anuradhapura,1.9941578333685075,Hybrid_A,Loam,Canal,1063.4580743849208,79.53119279453075,2822.840180443133,Low,4030.5790196519824
Anuradhapura,2.404405016947382,Hybrid_B,Sandy,Canal,1003.2260038898551,30.270024600254082,2696.582969608954,Low,3356.0477358199946
Anuradhapura,2.908073043398817,Hybrid_A,Clay,Tank,667.9994913918974,55.74504828011097,2559.652503591107,Medium,2883.6926063668716
Anuradhapura,0.3,Hybrid_B,Loam,Tank,1203.8584696691385,36.09256771389258,2858.639573684779,High,3801.7391845948364
Anuradhapura,1.6907520471776545,Hybrid_B,Loam,Rainfed,1308.7588703336587,58.512703033505474,3279.435731000647,High,4300.0
Anuradhapura,2.907344538604125,Hybrid_B,Loam,Tank,1193.2641506214404,80.30261039007846,2916.126925607529,Medium,4298.682624429943
Anuradhapura,1.8940386811586094,Hybrid_A,Loam,Tank,1409.90139761991,54.63838089750483,3158.4004196062065,Low,4300.0
Anuradhapura,0.4011196956289631,Hybrid_A,Clay,Rainfed,1079.75456417859,34.0048811572611,2832.5819727369126,Low,3715.7029602067432
Anuradhapura,1.7014883119511985,Hybrid_A,Loam,Rainfed,1676.6615774146267,94.33916546406333,3338.1112287711803,Medium,4300.0
Anuradhapura,0.47025993654443443,Hybrid_B,Clay,Tank,871.3891524805947,80.45392931869117,2278.4757391048715,Medium,3117.347994488303
Anuradhapura,1.220493996689847,OPV_Local,Sandy,Tube well,945.3353361050326,91.72274639965266,2404.032763235594,Low,3484.958439046331
Anuradhapura,2.5086530777425744,Hybrid_A,Loam,Rainfed,1170.537607817868,43.158241065620246,2561.4201086974995,Low,3728.982861228288
Anuradhapura,0.3,Hybrid_A,Sandy,Rainfed,1033.85164070239,63.93029412831618,2305.751073040146,Medium,3495.3214617699095
Anuradhapura,1.1891916095072803,Hybrid_A,Sandy,Rainfed,836.7262778922693,55.680089183999655,2809.326976146662,High,3120.7553719100397
Anuradhapura,1.2204996809244948,Hybrid_B,Sandy,Tube well,1292.0634705470165,93.13474062950806,3058.631512039777,Low,4300.0
Anuradhapura,2.6875307838587834,Hybrid_A,Sandy,Tank,1099.3025402105486,44.86390386511977,2512.2410276850205,Medium,3376.4131246408365
Anuradhapura,0.6873121898099774,Hybrid_B,Loam,Canal,1189.0532027226068,96.25999543096182,3070.6312818380616,High,4233.054773653492
Anuradhapura,3.3076550778756477,Hybrid_A,Clay,Canal,1385.376186234672,69.83119863429864,2592.875530736738,Medium,4300.0
